id,last_name,first_name,date_earliest,date_latest
505a2bdfd7,Luc,Luycx,1958,
bbabfc8670,Georgios,Stamatopoulos,,
6481873a24,Laura,Cretara,,
202c434758,Josef,Kaiser,1954,
ef59fd8c51,Begoñas,Castellanos Garcia,,
f95458bfb1,Miguel de,Cervantes Saavedra,1547,1616
f2e8f63bc1,,"Juan Carlos I. (1975-2014), König von Spanien",1938,
fe5ac7cb59,Heinz,Hoyer,1949,
acc1adbb26,Sneschana,Russewa-Hoyer,,
552b126971,Reinhart,Heinsdorff,1923,2002
18f3628e5e,Fabienne,Courtiade,,
bfe4ebc3cb,,Lucius Furius Cn. f. Brocchus,,
2b2dbe0a41,Bruno,Ninaber van Eyben,1950,
0a43d04e81,,"Beatrix (1980-2013), Königin der Niederlande",1938,
373816df5e,Erich,Ott,1944,
60adf6f70e,,Gordianus III.,225,244
25752cf912,,Ouazebas,,
e2a3afa8d6,Doris,Waschk-Balz,1942,
a96401c42e,,Caracalla (Marcus Aurelius Antoninus),188,217
ebed947a92,,Geta,189,211
f70131d67b,Aase,Thorsen,,
45ec79d5c8,,Iulia Domna,170,217
b46405de72,,Septimius Severus,146,211
9a0b769b46,,Claudianus Terpandros,,
b47807658e,Anton Zvone,Jezovsek,,
91ed16b379,,Severus Alexander,208,235
eba8ce4983,,Herennia Etruscilla,,251
f633aaa80c,,Traianus Decius,190,251
63735b582d,Agatha,Kill,1948,
bf37ea7734,Ulrich,Böhme,,
026b8e0514,,Tissaphernes,,
c77a60ccae,,Diocletianus,245,313
e2ccea8aa9,,Commodus,161,192
afe4b82b87,,Marcus Aurelius,121,180
beaba2b79d,,Domitianus,51,96
6cc9fa6e6f,,"Gaius Iulius Caesar (Octavianus), seit 27 v. Chr. Augustus",-63,14
662c070057,,Tiberius,-42,37
89f9d9f701,,Rheskouporis III.,,
bef54441ea,,Gaius Calpurnius Piso Frugi,,
0a2cab8ded,Paul,Sturm,1859,1936
17aaaedd50,,Vogelsang,,
3ea7427708,,"Wilhelm II. (1888-1918), König von Preußen, deutscher Kaiser",1859,1941
50abeca72a,,Philippus I.,204,249
6b3430b1d5,,"Ludwig III. (1913-1918), König von Bayern",1845,1921
b57ee21af7,,"Marie Therese (1913-1918), Königin von Bayern",1849,1919
7182d73c0b,Alois,Börsch,1855,1923
b6ca58c757,Ludwig,Habich,1872,1949
2ab69edc7b,,"Wilhelm II. (1891-1918), König von Württemberg",1848,1921
31fdb7d5a3,,Flavius Xenokrates,,
5d0ca912b6,,"Charlotte (1891-1918), Königin von Württemberg",1864,1946
0fc0ce6d0d,,Antiochos I. Soter,-324,-261
55dbaf969e,Daniel,Greiner,1872,1943
