id,title,subdivision,diameter,weight,date_earliest,date_latest,production_country,production_region,production_minting_place,production_material,finding_country,x,y,width
00001,Tarent,"Griechen, Archaik und Klassik",22,7.88,-415,-390,Italy,Kalabrien,Tarent,Silver,,0,0,41
00002,Kaulonia,"Griechen, Archaik und Klassik",30,7.69,-525,-500,Italy,Bruttium,Kaulonia,Silver,,41,0,39
00003,So-(?),"Griechen, Archaik und Klassik",26,5.38,-525,-510,Italy,Lukanien,,Silver,Italy,80,0,40
00004,Kyme,"Griechen, Archaik und Klassik",22,7.54,-420,-380,Italy,Kampanien,Kyme,Silver,,120,0,42
00005,Thurioi,"Griechen, Archaik und Klassik",28,15.89,-400,-350,Italy,Lukanien,Thurioi,Silver,,162,0,43
00007,Metapont,"Griechen, Archaik und Klassik",30,7.99,-540,-500,Italy,Lukanien,Metapont,Silver,,205,0,40
00008,Zankle (Messana),"Griechen, Archaik und Klassik",23,5.65,-520,-500,Italy,Sizilien,Messana-Messina,Silver,,245,0,41
00009,Griechenland: 2002,Moderne seit 1900,"25,7",8.36,2002,2002,Finland,,Vantaa,Cupro-Nickel,,286,0,40
00010,Italien: 2002,Moderne seit 1900,"23,2",7.50,2002,2002,Italy,Latium,Rom,Cupro-Nickel,,326,0,40
00011,Österreich: 2002,Moderne seit 1900,"24,2",7.76,2002,2002,Austria,Wien,Wien,,,366,0,39
00013,Spanien: 1999,Moderne seit 1900,"22,25",5.74,1999,1999,Spain,Kastilien,Madrid,,,405,0,40
00014,Bundesrepublik Deutschland: 2002,Moderne seit 1900,"19,75",4.10,2002,2002,Germany,Brandenburg,Berlin,,,445,0,40
00015,Frankreich: 2002,Moderne seit 1900,"21,2",3.94,1999,1999,France,Gironde,Pessac,Steel with Copper finish,,485,0,40
00017,Persischer Großkönig,"Griechen, Archaik und Klassik",17,8.32,-500,-350,,Persis,,Gold,,525,0,37
00018,Persischer Großkönig,"Griechen, Archaik und Klassik",21,16.06,-400,-330,,Persis,,Gold,,562,0,42
00019,Persischer Satrap,"Griechen, Archaik und Klassik",23,14.85,-400,-330,Turkey,Kleinasien,,Silver,,604,0,39
00022,Röm. Republik: L. Furius Brocchus,Römische Republik,20,3.91,-63,-63,Italy,Italia,Rom,Silver,,643,0,41
00023,Niederlande: 1999,Moderne seit 1900,"18,75",3.06,1999,1999,Netherlands,Utrecht,Utrecht,Steel with Copper finish,,684,0,40
00025,Bundesrepublik Deutschland: 2002,Moderne seit 1900,"24,25",7.80,2002,2002,Germany,Brandenburg,Berlin,,,724,0,39
00027,Persischer Satrap (Keranos) in Soloi,"Griechen, Archaik und Klassik",19-23,10.42,-400,-375,Turkey,Kilikien,Soloi-Pompeiopolis,Silver,,763,0,48
00028,Röm. Republik: L. Furius Brocchus,Römische Republik,18,3.33,-63,-63,Italy,Italia,Rom,Silver,,811,0,39
00029,Bundesrepublik Deutschland: 2002 Währungsunion,Deutschland Gedenkmünzen 20.-21. Jh.,"32,6",18.00,2002,2002,Germany,Baden-Württemberg,Stuttgart,Silver,,850,0,39
00030,Gordianus III.,Römische Kaiserzeit,24,4.67,238,239,Italy,Italia,Rom,Silver,,889,0,39
00031,Axum: Ouazebas,Römische Spätantike,20,2.37,390,410,Ethiopia,Axum,Axum,Bronze,,928,0,39
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,Deutschland Gedenkmünzen 20.-21. Jh.,"32,5",15.54,2000,2000,Germany,Bayern,München,Silver,,967,0,39
00034,Ephesos,"Griechen, Römische Kaiserzeit",37,23.14,211,211,Turkey,Asia,Ephesos,Bronze,,1006,0,39
00035,Bundesrepublik Deutschland: 2004 Europäische Union,Deutschland Gedenkmünzen 20.-21. Jh.,"32,5",18.12,2004,2004,Germany,Baden-Württemberg,Karlsruhe,Silver,,1045,0,39
00036,Pergamon,"Griechen, Römische Kaiserzeit",60,93.34,193,211,Turkey,Mysien,Pergamon,Bronze,,1084,0,40
00037,Bundesrepublik Deutschland: 2002 Währungsunion,Deutschland Gedenkmünzen 20.-21. Jh.,"32,6",31.10,2002,2002,Germany,Brandenburg,Berlin,Gold,,1124,0,40
00038,Severus Alexander,Römische Kaiserzeit,24,4.56,223,223,Italy,Italia,Rom,Gold,,1164,0,56
00039,Herennia Etruscilla,Römische Kaiserzeit,19,3.84,249,251,Italy,Italia,Rom,Gold,,1220,0,40
00040,Bundesrepublik Deutschland: 2002 Währungsunion,Deutschland Gedenkmünzen 20.-21. Jh.,"28,0",15.55,2002,2002,Germany,Brandenburg,Berlin,Gold,,1260,0,40
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,Deutschland Gedenkmünzen 20.-21. Jh.,28,15.55,2003,2003,Germany,Brandenburg,Berlin,Gold,,1300,0,39
00042,Bundesrepublik Deutschland: 2004 Bamberg,Deutschland Gedenkmünzen 20.-21. Jh.,"28,0",15.55,2004,2004,Germany,Brandenburg,Berlin,Gold,,1339,0,39
00045,Persischer Satrap,"Griechen, Archaik und Klassik",23,14.75,-400,-330,,Persis,,Silver,,1378,0,40
00049,Persischer Satrap in Pergamon,"Griechen, Archaik und Klassik",12,1.60,-400,-333,Turkey,Mysien,Pergamon,Silver,,1418,0,41
00050,Persischer Satrap: Tissaphernes,"Griechen, Archaik und Klassik",12,1.45,-411,-395,Turkey,Karien,Astyra,Bronze,,1459,0,37
00054,Diocletianus,Römische Spätantike,21,5.86,295,305,Germany,Gallia,Trier,Gold,,1496,0,35
00055,Commodus,Römische Kaiserzeit,20,7.12,175,175,Italy,Italia,Rom,Gold,,1531,0,40
00056,Domitianus,Römische Kaiserzeit,32,23.31,85,85,Italy,Italia,Rom,Bronze,,1571,0,39
00058,Divus Augustus,Römische Kaiserzeit,30,11.34,22,30,Italy,Italia,Rom,Bronze,,1610,0,40
00059,Divus Augustus,Römische Kaiserzeit,27,5.39,22,30,Italy,Italia,Rom,Bronze,Switzerland,1650,0,25
00063,Bosporos: Rheskouporis III.,"Griechen, Römische Kaiserzeit",21,7.14,224,225,Ukraine,Bosporos,,Gold,,1675,0,37
00064,Röm. Republik: C. Calpurnius Piso Frugi,Römische Republik,18,3.99,-67,-67,Italy,Italia,Rom,Silver,,1712,0,40
00065,Thrakien: Lysimachi,"Griechen, Hellenismus",31,16.80,-297,-200,Turkey,Thrakien,,Silver,,1752,0,41
00066,Kaiserreich: 1915 Mansfeld,Deutschland Gedenkmünzen 20.-21. Jh.,"33,0",16.68,1915,1915,Germany,Brandenburg,Berlin,Silver,,1793,0,40
00067,Philippus I.,Römische Kaiserzeit,23,4.83,244,247,Italy,Italia,Rom,Silver,,1833,0,39
