id,title,date_earliest,date_latest,thumb_vs,production_country,production_region,production_minting_place,x,y,width,height
00001,Tarent,-415,-390,http://ww2.smb.museum/mk_edit/images/n0/1/vs_thumb.jpg,Italien,Kalabrien,Tarent,0,0,41,40
00002,Kaulonia,-525,-500,http://ww2.smb.museum/mk_edit/images/n0/2/vs_thumb.jpg,Italien,Bruttium,Kaulonia,41,0,39,40
00003,So-(?),-525,-510,http://ww2.smb.museum/mk_edit/images/n0/3/vs_thumb.jpg,Italien,Lukanien,,80,0,40,40
00004,Kyme,-420,-380,http://ww2.smb.museum/mk_edit/images/n0/4/vs_thumb.jpg,Italien,Kampanien,Kyme,120,0,42,40
00005,Thurioi,-400,-350,http://ww2.smb.museum/mk_edit/images/n0/5/vs_thumb.jpg,Italien,Lukanien,Thurioi,162,0,43,40
00007,Metapont,-540,-500,http://ww2.smb.museum/mk_edit/images/n0/7/vs_thumb.jpg,Italien,Lukanien,Metapont,205,0,40,40
00008,Zankle (Messana),-520,-500,http://ww2.smb.museum/mk_edit/images/n0/8/vs_thumb.jpg,Italien,Sizilien,Messana-Messina,245,0,40,40
00009,Griechenland: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/9/vs_thumb.jpg,Finnland,,Vantaa,285,0,39,40
00010,Italien: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/10/vs_thumb.jpg,Italien,Latium,Rom,324,0,39,40
00011,Österreich: 2002,1954,2002,http://ww2.smb.museum/mk_edit/images/n0/11/vs_thumb.jpg,Österreich,Wien,Wien,363,0,39,40
00013,Spanien: 1999,1958,1616,http://ww2.smb.museum/mk_edit/images/n0/13/vs_thumb.jpg,Spanien,Kastilien,Madrid,402,0,40,40
00014,Bundesrepublik Deutschland: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/14/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,442,0,40,40
00015,Frankreich: 2002,1958,1999,http://ww2.smb.museum/mk_edit/images/n0/15/vs_thumb.jpg,Frankreich,Gironde,Pessac,482,0,40,40
00017,Persischer Großkönig,-500,-350,http://ww2.smb.museum/mk_edit/images/n0/17/vs_thumb.jpg,,Persis,,522,0,36,40
00018,Persischer Großkönig,-400,-330,http://ww2.smb.museum/mk_edit/images/n0/18/vs_thumb.jpg,,Persis,,558,0,42,40
00019,Persischer Satrap,-400,-330,http://ww2.smb.museum/mk_edit/images/n0/19/vs_thumb.jpg,Türkei,Kleinasien,,600,0,39,40
00022,Röm. Republik: L. Furius Brocchus,-63,-63,http://ww2.smb.museum/mk_edit/images/n0/22/vs_thumb.jpg,Italien,Italia,Rom,639,0,41,40
00023,Niederlande: 1999,1950,1999,http://ww2.smb.museum/mk_edit/images/n0/23/vs_thumb.jpg,Niederlande,Utrecht,Utrecht,680,0,40,40
00025,Bundesrepublik Deutschland: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/25/vs_thumb.jpg,Deutschland,Brandenburg,Berlin,720,0,39,40
00027,Persischer Satrap (Keranos) in Soloi,-400,-375,http://ww2.smb.museum/mk_edit/images/n0/27/vs_thumb.jpg,Türkei,Kilikien,Soloi-Pompeiopolis,759,0,48,40
00028,Röm. Republik: L. Furius Brocchus,-63,-63,http://ww2.smb.museum/mk_edit/images/n0/28/vs_thumb.jpg,Italien,Italia,Rom,807,0,39,40
00029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,http://ww2.smb.museum/mk_edit/images/n0/29/vs_thumb.jpg,Deutschland,Baden-Württemberg,Stuttgart,846,0,39,40
