id,title,date_earliest,date_latest,production_country,production_region,production_minting_place,x,y,width,height
00001,Tarent,-415,-390,Italien,Kalabrien,Tarent,0,0,31,31
00002,Kaulonia,-525,-500,Italien,Bruttium,Kaulonia,31,0,30,31
00003,So-(?),-525,-510,Italien,Lukanien,,61,0,31,31
00004,Kyme,-420,-380,Italien,Kampanien,Kyme,92,0,32,31
00005,Thurioi,-400,-350,Italien,Lukanien,Thurioi,124,0,33,31
00007,Metapont,-540,-500,Italien,Lukanien,Metapont,157,0,31,31
00008,Zankle (Messana),-520,-500,Italien,Sizilien,Messana-Messina,188,0,31,31
00009,Griechenland: 2002,1958,2002,Finnland,,Vantaa,219,0,31,31
00010,Italien: 2002,1958,2002,Italien,Latium,Rom,250,0,31,31
00011,Österreich: 2002,1954,2002,Österreich,Wien,Wien,281,0,31,31
00013,Spanien: 1999,1958,1616,Spanien,Kastilien,Madrid,312,0,31,31
00014,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin,343,0,31,31
00015,Frankreich: 2002,1958,1999,Frankreich,Gironde,Pessac,374,0,31,31
00017,Persischer Großkönig,-500,-350,,Persis,,405,0,29,31
00018,Persischer Großkönig,-400,-330,,Persis,,434,0,32,31
00019,Persischer Satrap,-400,-330,Türkei,Kleinasien,,466,0,30,31
00022,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom,496,0,31,31
00023,Niederlande: 1999,1950,1999,Niederlande,Utrecht,Utrecht,527,0,31,31
00025,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin,558,0,31,31
00027,Persischer Satrap (Keranos) in Soloi,-400,-375,Türkei,Kilikien,Soloi-Pompeiopolis,589,0,36,31
00028,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom,625,0,30,31
00029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,Deutschland,Baden-Württemberg,Stuttgart,655,0,31,31
00030,Gordianus III.,225,244,Italien,Italia,Rom,686,0,31,31
00031,Axum: Ouazebas,390,410,Äthiopien,Axum,Axum,717,0,30,31
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,Deutschland,Bayern,München,747,0,30,31
00034,Ephesos,188,217,Türkei,Asia,Ephesos,777,0,31,31
