id,title,date_earliest,date_latest,production_country,production_region,production_minting_place,diameter,weight,production_material,production_technique,nominal
00001,Tarent,-415,-390,Italien,Kalabrien,Tarent,22,7.88,Silver,struck,Didrachme
00002,Kaulonia,-525,-500,Italien,Bruttium,Kaulonia,30,7.69,Silver,struck,Stater
00003,So-(?),-525,-510,Italien,Lukanien,,26,5.38,Silver,struck,Drachme
00004,Kyme,-420,-380,Italien,Kampanien,Kyme,22,7.54,Silver,struck,Stater
00005,Thurioi,-400,-350,Italien,Lukanien,Thurioi,28,15.89,Silver,struck,Distater
00007,Metapont,-540,-500,Italien,Lukanien,Metapont,30,7.99,Silver,struck,Stater
00008,Zankle (Messana),-520,-500,Italien,Sizilien,Messana-Messina,23,5.65,Silver,struck,1/3 Stater (Trite)
00009,Griechenland: 2002,1958,2002,Finnland,,Vantaa,"25,7",8.36,Cupro-Nickel,struck,2 Euro
00010,Italien: 2002,1958,2002,Italien,Latium,Rom,"23,2",7.50,Cupro-Nickel,struck,Euro
00011,Österreich: 2002,1954,2002,Österreich,Wien,Wien,"24,2",7.76,Aluminium-Bronze,struck,50 Cent
00013,Spanien: 1999,1958,1616,Spanien,Kastilien,Madrid,"22,25",5.74,Aluminium-Bronze,struck,20 Cent
00014,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin,"19,75",4.10,Aluminium-Bronze,struck,10 Cent
00015,Frankreich: 2002,1958,1999,Frankreich,Gironde,Pessac,"21,2",3.94,Steel with Copper finish,struck,5 Cent
00017,Persischer Großkönig,-500,-350,,Persis,,17,8.32,Gold,struck,Dareikos
00018,Persischer Großkönig,-400,-330,,Persis,,21,16.06,Gold,struck,Doppeldareike
00019,Persischer Satrap,-400,-330,Türkei,Kleinasien,,23,14.85,Silver,struck,Siglos
00022,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom,20,3.91,Silver,struck,Denar (ANT)
00023,Niederlande: 1999,1950,1999,Niederlande,Utrecht,Utrecht,"18,75",3.06,Steel with Copper finish,struck,2 Cent
00025,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin,"24,25",7.80,Aluminium-Bronze,struck,50 Cent
00027,Persischer Satrap (Keranos) in Soloi,-400,-375,Türkei,Kilikien,Soloi-Pompeiopolis,19-23,10.42,Silver,struck,
00028,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom,18,3.33,Silver,struck,Denar (ANT)
