id,title,date_earliest,date_latest,duration,production_period_name,production_country,production_region,production_minting_place,nominal,currency
18200001,Tarent,-415,-390,25,Klassik,Italien,Kalabrien,Tarent,Didrachme,Didrachme
18200002,Kaulonia,-525,-500,25,Archaik,Italien,Bruttium,Kaulonia,Stater,Stater
18200003,So-(?),-525,-510,15,Archaik,Italien,Lukanien,,Drachme,Drachme
18200004,Kyme,-420,-380,40,Klassik,Italien,Kampanien,Kyme,Stater,Stater
18200005,Thurioi,-400,-350,50,Klassik,Italien,Lukanien,Thurioi,Distater,Distater
18200006,Abukir,-356,-323,33,Römische Kaiserzeit,Griechenland,Makedonien,Beroia?,,
18200007,Metapont,-540,-500,40,Archaik,Italien,Lukanien,Metapont,Stater,Stater
18200008,Zankle (Messana),-520,-500,20,Archaik,Italien,Sizilien,Messana-Messina,1/3 Stater (Trite), Stater (Trite)
18200009,Griechenland: 2002,1958,2002,44,Moderne seit 1900,Finnland,,Vantaa,2 Euro, Euro
18200010,Italien: 2002,1958,2002,44,Moderne seit 1900,Italien,Latium,Rom,Euro, Euro
18200011,Österreich: 2002,1954,2002,48,Moderne seit 1900,Österreich,Wien,Wien,50 Cent, Cent
18200012,Abukir,-356,-323,33,Römische Kaiserzeit,Griechenland,Makedonien,Beroia?,,
18200013,Spanien: 1999,1616,1958,342,Moderne seit 1900,Spanien,Kastilien,Madrid,20 Cent, Cent
18200014,Bundesrepublik Deutschland: 2002,1958,2002,44,Moderne seit 1900,Deutschland,Brandenburg,Berlin,10 Cent, Cent
18200015,Frankreich: 2002,1958,1999,41,Moderne seit 1900,Frankreich,Gironde,Pessac,5 Cent, Cent
18200016,Abukir,-356,-323,33,Römische Kaiserzeit,Griechenland,Makedonien,Beroia?,,
18200017,Persischer Großkönig,-500,-350,150,Klassik,,Persis,,Dareikos,Dareikos
18200018,Persischer Großkönig,-400,-330,70,Klassik,,Persis,,Doppeldareike,Doppeldareike
18200019,Persischer Satrap,-400,-330,70,Klassik,Türkei,Kleinasien,,Siglos,Siglos
18200020,Abukir,-375,-316,59,Römische Kaiserzeit,Griechenland,Makedonien,Beroia?,,
18200021,Abukir,188,217,29,Römische Kaiserzeit,Griechenland,Makedonien,Beroia?,,
18200022,Röm. Republik: L. Furius Brocchus,-63,-63,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200023,Niederlande: 1999,1950,1999,49,Moderne seit 1900,Niederlande,Utrecht,Utrecht,2 Cent, Cent
18200025,Bundesrepublik Deutschland: 2002,1958,2002,44,Moderne seit 1900,Deutschland,Brandenburg,Berlin,50 Cent, Cent
18200027,Persischer Satrap (Keranos) in Soloi,-400,-375,25,Klassik,Türkei,Kilikien,Soloi-Pompeiopolis,,
18200028,Röm. Republik: L. Furius Brocchus,-63,-63,0,Hellenismus,Italien,Italia,Rom,Denar (ANT),Denar (ANT)
18200029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,58,Moderne seit 1900,Deutschland,Baden-Württemberg,Stuttgart,10 Euro, Euro
18200030,Gordianus III.,225,244,19,Römische Kaiserzeit,Italien,Italia,Rom,Doppeldenar,Doppeldenar
18200031,Axum: Ouazebas,390,410,20,Römische Spätantike,Äthiopien,Axum,Axum,,
18200032,"Schwarz, Hans: Kurfürst Joachim I.",1492,1550,58,Renaissance,Deutschland,Brandenburg,,,
18200033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,58,Moderne seit 1900,Deutschland,Bayern,München,10 Deutsche Mark, Deutsche Mark
