id,x,y,width
00001,0,0,41
00002,41,0,39
00003,80,0,40
00004,120,0,42
00005,162,0,43
00007,205,0,40
00008,245,0,41
00009,286,0,40
00010,326,0,40
00011,366,0,39
00013,405,0,40
00014,445,0,40
00015,485,0,40
00017,525,0,37
00018,562,0,42
00019,604,0,39
00022,643,0,41
00023,684,0,40
00025,724,0,39
00027,763,0,48
00028,811,0,39
00029,850,0,39
00030,889,0,39
00031,928,0,39
00033,967,0,39
00034,1006,0,39
00035,1045,0,39
00036,1084,0,40
00037,1124,0,40
00038,1164,0,56
00039,1220,0,40
00040,1260,0,40
00041,1300,0,39
00042,1339,0,39
00045,1378,0,40
00049,1418,0,41
00050,1459,0,37
00054,1496,0,35
00055,1531,0,40
00056,1571,0,39
00058,1610,0,40
00059,1650,0,25
00063,1675,0,37
00064,1712,0,40
00065,1752,0,41
00066,1793,0,40
00067,1833,0,39
00068,1872,0,40
00069,1912,0,40
00070,1952,0,38
00071,0,40,40
00072,40,40,38
00073,78,40,38
00074,116,40,40
00075,156,40,34
00076,190,40,39
00077,229,40,40
00078,269,40,40
00079,309,40,40
00080,349,40,40
00081,389,40,41
00082,430,40,41
00083,471,40,41
00084,512,40,40
00085,552,40,40
00086,592,40,40
00087,632,40,40
00088,672,40,40
00089,712,40,40
00091,752,40,40
00092,792,40,47
00093,839,40,41
00094,880,40,48
00095,928,40,40
00096,968,40,38
00097,1006,40,39
00098,1045,40,40
00099,1085,40,51
00100,1136,40,48
00101,1184,40,38
00102,1222,40,44
00103,1266,40,41
00104,1307,40,43
00105,1350,40,44
00106,1394,40,37
00107,1431,40,35
00108,1466,40,36
00109,1502,40,42
00110,1544,40,37
00111,1581,40,39
00112,1620,40,35
00113,1655,40,35
00114,1690,40,43
00115,1733,40,39
00116,1772,40,39
00117,1811,40,40
00118,1851,40,40
00119,1891,40,40
00120,1931,40,40
00121,1971,40,45
00122,0,80,41
00123,41,80,39
00124,80,80,41
00125,121,80,40
00126,161,80,35
00130,196,80,40
00131,236,80,40
00132,276,80,36
00133,312,80,42
00135,354,80,39
00136,393,80,41
00137,434,80,39
00138,473,80,39
00139,512,80,42
00140,554,80,40
00142,594,80,40
00143,634,80,40
00144,674,80,38
00145,712,80,38
00147,750,80,40
00148,790,80,40
00149,830,80,37
00150,867,80,42
00151,909,80,40
00152,949,80,40
00153,989,80,31
00158,1020,80,30
00159,1050,80,30
00160,1080,80,40
00163,1120,80,39
00164,1159,80,42
00165,1201,80,39
00166,1240,80,44
00167,1284,80,40
00170,1324,80,39
00171,1363,80,36
00172,1399,80,38
00173,1437,80,39
00174,1476,80,39
00175,1515,80,39
00176,1554,80,39
00177,1593,80,41
00178,1634,80,39
