id,title,date_earliest,date_latest,production_country,production_region,production_minting_place
00001,Tarent,-415,-390,Italien,Kalabrien,Tarent
00002,Kaulonia,-525,-500,Italien,Bruttium,Kaulonia
00003,So-(?),-525,-510,Italien,Lukanien,
00004,Kyme,-420,-380,Italien,Kampanien,Kyme
00005,Thurioi,-400,-350,Italien,Lukanien,Thurioi
00007,Metapont,-540,-500,Italien,Lukanien,Metapont
00008,Zankle (Messana),-520,-500,Italien,Sizilien,Messana-Messina
00009,Griechenland: 2002,1958,2002,Finnland,,Vantaa
00010,Italien: 2002,1958,2002,Italien,Latium,Rom
00011,Österreich: 2002,1954,2002,Österreich,Wien,Wien
00013,Spanien: 1999,1958,1616,Spanien,Kastilien,Madrid
00014,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin
00015,Frankreich: 2002,1958,1999,Frankreich,Gironde,Pessac
00017,Persischer Großkönig,-500,-350,,Persis,
00018,Persischer Großkönig,-400,-330,,Persis,
00019,Persischer Satrap,-400,-330,Türkei,Kleinasien,
00022,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom
00023,Niederlande: 1999,1950,1999,Niederlande,Utrecht,Utrecht
00025,Bundesrepublik Deutschland: 2002,1958,2002,Deutschland,Brandenburg,Berlin
00027,Persischer Satrap (Keranos) in Soloi,-400,-375,Türkei,Kilikien,Soloi-Pompeiopolis
00028,Röm. Republik: L. Furius Brocchus,-63,-63,Italien,Italia,Rom
00029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,Deutschland,Baden-Württemberg,Stuttgart
00030,Gordianus III.,225,244,Italien,Italia,Rom
00031,Axum: Ouazebas,390,410,Äthiopien,Axum,Axum
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,Deutschland,Bayern,München
00034,Ephesos,188,217,Türkei,Asia,Ephesos
00035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,Deutschland,Baden-Württemberg,Karlsruhe
00036,Pergamon,170,217,Türkei,Mysien,Pergamon
00037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin
00038,Severus Alexander,208,235,Italien,Italia,Rom
00039,Herennia Etruscilla,190,251,Italien,Italia,Rom
00040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,Deutschland,Brandenburg,Berlin
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,Deutschland,Brandenburg,Berlin
00042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,Deutschland,Brandenburg,Berlin
00045,Persischer Satrap,-400,-330,,Persis,
00049,Persischer Satrap in Pergamon,-400,-333,Türkei,Mysien,Pergamon
00050,Persischer Satrap: Tissaphernes,-411,-395,Türkei,Karien,Astyra
00054,Diocletianus,245,313,Deutschland,Gallia,Trier
00055,Commodus,161,192,Italien,Italia,Rom
00056,Domitianus,51,96,Italien,Italia,Rom
00058,Divus Augustus,-63,14,Italien,Italia,Rom
00059,Divus Augustus,-63,14,Italien,Italia,Rom
00063,Bosporos: Rheskouporis III.,208,235,Ukraine,Bosporos,
00064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,Italien,Italia,Rom
00065,Thrakien: Lysimachi,-297,-200,Türkei,Thrakien,
00066,Kaiserreich: 1915 Mansfeld,1859,1936,Deutschland,Brandenburg,Berlin
00067,Philippus I.,204,249,Italien,Italia,Rom
00068,Apameia,190,251,Türkei,Phrygien,Apameia (Kibotos)
00069,Kaiserreich: Bayern 1918,1845,1921,Deutschland,Bayern,München
00070,Pergamon,-123,-67,Türkei,Mysien,Pergamon
00071,Kaiserreich: Württemberg 1916,1872,1949,Deutschland,Württemberg,Stuttgart
00072,Pergamon,189,211,Türkei,Mysien,Pergamon
00073,Pergamon,188,217,Türkei,Mysien,Pergamon
00074,Kaiserreich: Württemberg 1911,1848,1921,Deutschland,Württemberg,Stuttgart
00075,Aspendos,-440,-420,Türkei,Pamphylien,Aspendos
00076,Seleukiden: Antiochos I.,-324,-261,Irak,Babylonien,Seleukia am Tigris
00077,Kaiserreich: Hessen 1904,1872,1943,Deutschland,Brandenburg,Berlin
00078,Makedonien: Alexandros III.,-188,-170,Türkei,Ionien,Temnos
00079,Side,-300,-100,Türkei,Pamphylien,Side
00080,Kaiserreich: Hessen 1917,1874,1943,Deutschland,Hessen,Berlin
00081,Augustus,-63,14,Frankreich,Gallia,Lyon
00082,Claudius,-10,54,Italien,Italia,Rom
00083,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri)
00084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,Deutschland,Brandenburg,Berlin
00085,Caesarea: Nero,37,68,Türkei,Kappadokien,Caesarea (Kayseri)
00086,Kaiserreich: 1908 Universität Jena,1503,1554,Deutschland,Brandenburg,Berlin
00087,Gaza,146,211,Palästinensische Autonomiegebiete,Iudaea,Gaza
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,Deutschland,Brandenburg,Berlin
00089,Pergamon,188,217,Türkei,Mysien,Pergamon
00091,Side,221,221,Türkei,Pamphylien,Side
00092,Elektron,-600,-500,Türkei,Kleinasien,
00093,Elektron,-600,-550,Türkei,Kleinasien,
00094,Elektron,-600,-550,Türkei,Lydien,
00095,Elektron,-600,-550,Türkei,Kleinasien,
00096,Elektron,-600,-550,Türkei,Kleinasien,
00097,Elektron,-600,-550,Türkei,Kleinasien,
