x,y,width,height
0,0,25,25
25,0,24,25
49,0,25,25
74,0,26,25
100,0,27,25
127,0,25,25
152,0,25,25
177,0,25,25
202,0,25,25
227,0,25,25
252,0,25,25
277,0,25,25
302,0,25,25
327,0,23,25
350,0,26,25
376,0,24,25
400,0,25,25
425,0,25,25
450,0,25,25
475,0,30,25
505,0,24,25
529,0,25,25
554,0,25,25
579,0,24,25
603,0,24,25
627,0,25,25
652,0,25,25
677,0,25,25
702,0,25,25
727,0,35,25
762,0,25,25
787,0,25,25
812,0,25,25
837,0,25,25
862,0,25,25
887,0,25,25
912,0,23,25
935,0,22,25
957,0,25,25
982,0,24,25
1006,0,25,25
1031,0,15,25
1046,0,23,25
1069,0,25,25
1094,0,25,25
1119,0,25,25
1144,0,24,25
1168,0,25,25
1193,0,25,25
1218,0,23,25
0,25,25,25
25,25,23,25
48,25,23,25
71,25,25,25
96,25,21,25
117,25,24,25
141,25,25,25
166,25,25,25
191,25,25,25
216,25,25,25
241,25,26,25
267,25,25,25
292,25,26,25
318,25,25,25
343,25,25,25
368,25,25,25
393,25,25,25
418,25,25,25
443,25,25,25
468,25,25,25
493,25,29,25
522,25,26,25
548,25,30,25
578,25,25,25
603,25,24,25
627,25,24,25
651,25,25,25
676,25,32,25
708,25,30,25
738,25,24,25
762,25,27,25
789,25,26,25
815,25,27,25
842,25,27,25
869,25,23,25
892,25,22,25
914,25,22,25
936,25,26,25
962,25,23,25
985,25,24,25
1009,25,22,25
1031,25,22,25
1053,25,26,25
1079,25,24,25
1103,25,25,25
1128,25,25,25
1153,25,25,25
1178,25,25,25
1203,25,25,25
1228,25,28,25
0,50,25,25
25,50,24,25
49,50,26,25
75,50,25,25
100,50,22,25
122,50,25,25
147,50,25,25
172,50,22,25
194,50,26,25
220,50,25,25
245,50,25,25
270,50,25,25
295,50,24,25
319,50,26,25
345,50,25,25
370,50,25,25
395,50,25,25
420,50,24,25
444,50,23,25
467,50,25,25
492,50,25,25
517,50,23,25
540,50,26,25
566,50,25,25
591,50,25,25
616,50,19,25
635,50,19,25
654,50,19,25
673,50,25,25
698,50,25,25
723,50,26,25
749,50,24,25
773,50,27,25
800,50,25,25
825,50,24,25
849,50,22,25
871,50,23,25
894,50,24,25
918,50,24,25
942,50,24,25
966,50,24,25
990,50,26,25
1016,50,24,25
1040,50,26,25
1066,50,24,25
1090,50,26,25
1116,50,26,25
1142,50,25,25
1167,50,25,25
1192,50,24,25
0,75,26,25
26,75,23,25
49,75,25,25
74,75,23,25
97,75,25,25
122,75,25,25
147,75,26,25
173,75,26,25
199,75,25,25
224,75,25,25
249,75,24,25
273,75,26,25
299,75,24,25
323,75,23,25
346,75,24,25
370,75,24,25
394,75,26,25
420,75,26,25
446,75,27,25
473,75,24,25
497,75,27,25
524,75,27,25
551,75,25,25
576,75,22,25
598,75,24,25
622,75,24,25
646,75,25,25
671,75,28,25
699,75,25,25
724,75,27,25
751,75,26,25
777,75,25,25
802,75,26,25
828,75,25,25
853,75,27,25
880,75,25,25
905,75,26,25
931,75,24,25
