source_id,target_id,role
00009,505a2bdfd7,Entwurf
00009,bbabfc8670,Entwurf
00010,505a2bdfd7,Entwurf
00010,6481873a24,Entwurf
00011,202c434758,Entwurf
00011,505a2bdfd7,Entwurf
00013,505a2bdfd7,Entwurf
00013,ef59fd8c51,Entwurf
00013,f95458bfb1,Dargestellte/r
00013,f2e8f63bc1,Muenzherr
00014,505a2bdfd7,Entwurf
00014,fe5ac7cb59,Entwurf
00014,acc1adbb26,Entwurf
00014,552b126971,Entwurf
00015,18f3628e5e,Entwurf
00015,505a2bdfd7,Entwurf
00022,bfe4ebc3cb,Muenzmeister (MM Ant)
00023,2b2dbe0a41,Entwurf
00023,505a2bdfd7,Entwurf
00023,0a43d04e81,Dargestellte/r
00023,0a43d04e81,Muenzherr
00025,505a2bdfd7,Entwurf
00025,552b126971,Entwurf
00028,bfe4ebc3cb,Muenzmeister (MM Ant)
00029,373816df5e,Entwurf
00030,60adf6f70e,Dargestellte/r
00030,60adf6f70e,Muenzherr
00031,25752cf912,Dargestellte/r
00031,25752cf912,Muenzherr
00033,e2a3afa8d6,Entwurf
00034,a96401c42e,Dargestellte/r
00034,ebed947a92,Dargestellte/r
00035,f70131d67b,Entwurf
00036,45ec79d5c8,Dargestellte/r
00036,b46405de72,Dargestellte/r
00036,a96401c42e,Dargestellte/r
00036,9a0b769b46,Strategos
00037,b47807658e,Entwurf
00038,91ed16b379,Dargestellte/r
00038,91ed16b379,Muenzherr
00039,eba8ce4983,Dargestellte/r
00039,f633aaa80c,Muenzherr
00040,b47807658e,Entwurf
00041,63735b582d,Entwurf
00042,bf37ea7734,Entwurf
00050,026b8e0514,Dargestellte/r
00050,026b8e0514,Muenzherr
00054,c77a60ccae,Dargestellte/r
00054,c77a60ccae,Muenzherr
00055,e2ccea8aa9,Dargestellte/r
00055,afe4b82b87,Muenzherr
00056,beaba2b79d,Dargestellte/r
00056,beaba2b79d,Muenzherr
00058,6cc9fa6e6f,Dargestellte/r
00058,662c070057,Muenzherr
00059,6cc9fa6e6f,Dargestellte/r
00059,662c070057,Muenzherr
00063,89f9d9f701,Dargestellte/r
00063,91ed16b379,Dargestellte/r
00063,89f9d9f701,Muenzherr
00064,bef54441ea,Muenzmeister (MM Ant)
00066,0a2cab8ded,Entwurf
00066,17aaaedd50,Entwurf
00066,3ea7427708,Muenzherr
00067,50abeca72a,Dargestellte/r
00067,50abeca72a,Muenzherr
00068,f633aaa80c,Dargestellte/r
00069,6b3430b1d5,Dargestellte/r
00069,b57ee21af7,Dargestellte/r
00069,7182d73c0b,Stempelschneider
00071,b6ca58c757,Entwurf
00071,2ab69edc7b,Dargestellte/r
00071,2ab69edc7b,Muenzherr
00072,ebed947a92,Dargestellte/r
00072,a96401c42e,Dargestellte/r
00072,31fdb7d5a3,Strategos
00073,a96401c42e,Dargestellte/r
00073,ebed947a92,Dargestellte/r
00073,9a0b769b46,Strategos
00074,2ab69edc7b,Dargestellte/r
00074,5d0ca912b6,Dargestellte/r
00074,2ab69edc7b,Muenzherr
00076,0fc0ce6d0d,Dargestellte/r
00076,0fc0ce6d0d,Muenzherr
00077,55dbaf969e,Entwurf
00077,2e9f6bc11d,Dargestellte/r
00077,f0c4a28ec5,Dargestellte/r
00077,2e9f6bc11d,Muenzherr
00077,b5d191ac8c,Stempelschneider
00080,52dc92de85,Entwurf
00080,2e9f6bc11d,Dargestellte/r
00080,2e9f6bc11d,Muenzherr
00080,3cdc1c9328,Stempelschneider
00081,6cc9fa6e6f,Dargestellte/r
00081,6cc9fa6e6f,Muenzherr
00082,3fc033f8b3,Dargestellte/r
00082,3fc033f8b3,Muenzherr
00083,9ef9557539,Dargestellte/r
00083,5461db7034,Dargestellte/r
00083,9ef9557539,Muenzherr
00084,242bb25e55,Dargestellte/r
00084,6c4aca7973,Dargestellte/r
00084,242bb25e55,Muenzherr
00084,b5d191ac8c,Stempelschneider
00085,9ef9557539,Dargestellte/r
00085,5461db7034,Dargestellte/r
00085,9ef9557539,Muenzherr
00086,e686ad2586,Dargestellte/r
00086,626a665149,Muenzherr
00086,0a2cab8ded,Stempelschneider
00087,b46405de72,Dargestellte/r
00088,f9b5381aa1,Entwurf
00088,76607d6d1a,Dargestellte/r
00088,626a665149,Muenzherr
00089,a96401c42e,Dargestellte/r
00089,e8de0dafcd,Strategos
00091,3763cfc913,Dargestellte/r
00115,77076f0161,Stempelschneider
00116,5c594b45e6,Entwurf
00116,3cdc1c9328,Stempelschneider
00117,a0f46794d0,Dargestellte/r
00117,809de456b5,Dargestellte/r
00117,3cdc1c9328,Stempelschneider
00117,5c594b45e6,Stempelschneider
00118,52ca5356e2,Entwurf
00118,51ce393a75,Dargestellte/r
00120,77076f0161,Stempelschneider
00130,52ca5356e2,Entwurf
00130,cccdcacc49,Dargestellte/r
00130,3cdc1c9328,Stempelschneider
00131,fee7665729,Stempelschneider
00137,64b1d1a139,Entwurf
00137,289101046e,Dargestellte/r
00137,3cdc1c9328,Stempelschneider
00139,eebd44daaf,Dargestellte/r
00139,eebd44daaf,Muenzherr
00140,52ca5356e2,Entwurf
00140,7b968b7d2c,Dargestellte/r
00143,52ca5356e2,Entwurf
00143,bfa5ed3fc4,Dargestellte/r
00160,1ce58941d3,Magistrat (Ant)
00163,2dfb044222,Dargestellte/r
00163,2dfb044222,Muenzherr
00164,d117cc57b6,Muenzherr
00165,06d7d33912,Muenzherr
00166,a14470c033,Dargestellte/r
00166,a14470c033,Muenzherr
00167,135ef795af,Dargestellte/r
00167,e3ceb0b294,Stempelschneider
00167,c1adecb95a,Stempelschneider
00170,c6d81d74b5,Dargestellte/r
00170,c6d81d74b5,Muenzherr
00171,810bfdc32d,Muenzherr
00172,5c10fcee32,Muenzherr
00173,faa15c9870,Dargestellte/r
00173,dfa7af6a60,Muenzherr
00174,451e4bf146,Dargestellte/r
00174,451e4bf146,Muenzherr
00175,a9af077864,Muenzherr
00176,a9af077864,Dargestellte/r
00176,a9af077864,Muenzherr
00177,faa15c9870,Dargestellte/r
00177,e723245158,Muenzherr
00178,faa15c9870,Dargestellte/r
00178,e723245158,Dargestellte/r
00178,e723245158,Muenzherr
00179,e723245158,Dargestellte/r
00179,765d2b5387,Muenzherr
00180,12acf1d202,Dargestellte/r
00180,765d2b5387,Muenzherr
00181,2621b5e141,Dargestellte/r
00181,5b1cbacde2,Muenzherr
00182,ed63491d39,Dargestellte/r
00182,ed63491d39,Muenzherr
00184,cb1a0e7a28,Magistrat (Ant)
00185,9ad81ec978,Magistrat (Ant)
00187,b45bb50d63,Magistrat (Ant)
00190,a0579f2054,Dargestellte/r
00190,5cfc58340c,Dargestellte/r
00190,a0579f2054,Muenzherr
00191,8c2904883e,Dargestellte/r
00191,8c2904883e,Muenzherr
00192,6be77dd4b2,Dargestellte/r
00192,6be77dd4b2,Muenzherr
00193,d2f6357999,Dargestellte/r
00193,d2f6357999,Muenzherr
00194,fdfa677845,Muenzmeister (MM Nz)
00195,2437452779,Muenzmeister (MM Nz)
00196,4942955334,Muenzmeister (MM Ant)
00196,d3ccb6346f,Muenzmeister (MM Ant)
00196,e830f1bc04,Muenzmeister (MM Ant)
00197,051458c90b,Muenzmeister (MM Ant)
00198,7c434329b3,Quaestor
00199,7c434329b3,Quaestor
00200,7480edff46,Muenzmeister (MM Ant)
00201,f8de9ecac6,Muenzmeister (MM Ant)
00201,3a24933834,Muenzmeister (MM Ant)
00202,22bd161aef,Dargestellte/r
00202,a04e181d23,Dargestellte/r
00202,73c25e871f,Muenzmeister (MM Ant)
00204,9065a8c5ba,Dargestellte/r
00204,0d1a3cf45e,Muenzmeister (MM Ant)
00205,faa15c9870,Dargestellte/r
00205,2fa7b811da,Muenzherr
00206,0189eca383,Dargestellte/r
00206,0189eca383,Muenzherr
00207,5ab31cbd7c,Dargestellte/r
00207,5ab31cbd7c,Muenzherr
00208,5ab31cbd7c,Dargestellte/r
00208,5ab31cbd7c,Muenzherr
00209,981fb88181,Dargestellte/r
00209,634433779f,Dargestellte/r
00209,981fb88181,Muenzherr
00209,634433779f,Muenzherr
00210,612c4315ca,Dargestellte/r
00210,9eb79fef26,Dargestellte/r
00210,612c4315ca,Muenzherr
00210,9eb79fef26,Muenzherr
00211,e3af96a089,Dargestellte/r
00211,e3af96a089,Muenzherr
00212,3e763594fe,Dargestellte/r
00212,3e763594fe,Muenzherr
00214,6cc9fa6e6f,Dargestellte/r
00214,e1178f8a0c,Dargestellte/r
00214,e068185113,Dargestellte/r
00214,3faa123253,Dargestellte/r
00214,3faa123253,Proconsul
00215,3faa123253,Legatus Augusti pro praetore
00217,eebd44daaf,Dargestellte/r
00217,eebd44daaf,Muenzherr
00218,575a0844a8,Dargestellte/r
00218,575a0844a8,Muenzherr
00219,9f2971efcf,Dargestellte/r
00219,9f2971efcf,Muenzherr
00220,480e082d7c,Dargestellte/r
00220,480e082d7c,Muenzherr
00221,9d89bd7a76,Dargestellte/r
00221,9d89bd7a76,Muenzherr
00222,fa76bc0046,Dargestellte/r
00222,82eb0e3ed1,Muenzherr
00223,a42e13511b,Muenzherr
00224,a42e13511b,Muenzherr
00225,18be147ef4,Dargestellte/r
00225,18be147ef4,Muenzherr
00226,521ece555d,Dargestellte/r
00226,521ece555d,Muenzherr
00227,d69ecfaf54,Dargestellte/r
00227,d69ecfaf54,Muenzherr
00228,b67c5895f2,Dargestellte/r
00228,b67c5895f2,Muenzherr
00229,b9dc3e62a2,Dargestellte/r
00229,b9dc3e62a2,Muenzherr
00230,2460f62d7f,Dargestellte/r
00230,2460f62d7f,Muenzherr
00231,b08c07f2d4,Dargestellte/r
00231,50dc058f8f,Dargestellte/r
00231,50dc058f8f,Muenzherr
00232,1102531406,Dargestellte/r
00232,1102531406,Muenzherr
00233,88f976057e,Muenzmeister (MM Ant)
00234,636b844bcc,Dargestellte/r
00234,636b844bcc,Imperator (Röm. Republik)
00234,fb907b886c,Muenzmeister (MM Ant)
00235,c602f93fb8,Proconsul
00236,8557c2511f,Praetor
00236,4c2dcc12f1,Praetor
00237,ced59b4125,Muenzmeister (MM Ant)
00238,ced59b4125,Muenzmeister (MM Ant)
00239,c0e68c7e05,Dargestellte/r
00239,fc7daf747a,Praefectus classis et orae maritimae
00240,5cd551a18c,Muenzmeister (MM Ant)
00241,5cd551a18c,Muenzmeister (MM Ant)
00242,6fa38e0737,Dargestellte/r
00242,6cc9fa6e6f,Dargestellte/r
00242,6fa38e0737,Triumvir RPC
00242,6cc9fa6e6f,Triumvir RPC
00242,e832d5470d,Quaestor pro praetore
00243,6fa38e0737,Dargestellte/r
00243,6cc9fa6e6f,Dargestellte/r
00243,6fa38e0737,Triumvir RPC
00243,6cc9fa6e6f,Triumvir RPC
00244,6cc9fa6e6f,Dargestellte/r
00244,6cc9fa6e6f,Muenzherr
00245,6cc9fa6e6f,Dargestellte/r
00245,6cc9fa6e6f,Muenzherr
00246,9ef9557539,Dargestellte/r
00246,9ef9557539,Muenzherr
00248,9ef9557539,Dargestellte/r
00248,9ef9557539,Muenzherr
00249,beaba2b79d,Dargestellte/r
00249,beaba2b79d,Muenzherr
00250,beaba2b79d,Dargestellte/r
00250,beaba2b79d,Muenzherr
00251,da516e3fe6,Dargestellte/r
00251,da516e3fe6,Muenzherr
00252,da516e3fe6,Dargestellte/r
00252,da516e3fe6,Muenzherr
00253,ff54c2b743,Dargestellte/r
00253,ff54c2b743,Muenzherr
00254,ff54c2b743,Dargestellte/r
00254,ff54c2b743,Muenzherr
00255,9aec026c2f,Dargestellte/r
00255,ff54c2b743,Muenzherr
00256,ddf82afdf1,Dargestellte/r
00256,f8e838afcf,Muenzherr
00257,f8e838afcf,Dargestellte/r
00257,ff54c2b743,Dargestellte/r
00257,f8e838afcf,Muenzherr
00258,f8e838afcf,Dargestellte/r
00258,f8e838afcf,Muenzherr
00259,902ea5e4d4,Dargestellte/r
00259,902ea5e4d4,Muenzherr
00260,902ea5e4d4,Dargestellte/r
00260,84f7fd2e45,Dargestellte/r
00260,902ea5e4d4,Muenzherr
00261,84f7fd2e45,Dargestellte/r
00261,902ea5e4d4,Muenzherr
00262,84f7fd2e45,Dargestellte/r
00262,902ea5e4d4,Muenzherr
00263,902ea5e4d4,Dargestellte/r
00263,afe4b82b87,Dargestellte/r
00263,902ea5e4d4,Muenzherr
00264,afe4b82b87,Dargestellte/r
00264,4faccef8d2,Dargestellte/r
00264,902ea5e4d4,Muenzherr
00265,afe4b82b87,Dargestellte/r
00265,afe4b82b87,Muenzherr
00266,afe4b82b87,Dargestellte/r
00266,afe4b82b87,Muenzherr
00267,e2ccea8aa9,Dargestellte/r
00267,e2ccea8aa9,Muenzherr
00268,e2ccea8aa9,Dargestellte/r
00268,e2ccea8aa9,Muenzherr
00269,b46405de72,Dargestellte/r
00269,b46405de72,Muenzherr
00270,b46405de72,Dargestellte/r
00270,b46405de72,Muenzherr
00271,45ec79d5c8,Dargestellte/r
00271,a96401c42e,Muenzherr
00272,45ec79d5c8,Dargestellte/r
00272,a96401c42e,Muenzherr
00273,82993df79b,Dargestellte/r
00273,82993df79b,Muenzherr
00274,82993df79b,Dargestellte/r
00274,82993df79b,Muenzherr
00275,9dfdab781b,Dargestellte/r
00275,9dfdab781b,Muenzherr
00276,9dfdab781b,Dargestellte/r
00276,9dfdab781b,Muenzherr
00278,d2a9e3e588,Dargestellte/r
00278,91ed16b379,Muenzherr
00279,d2a9e3e588,Dargestellte/r
00279,91ed16b379,Muenzherr
00280,232b3dac56,Dargestellte/r
00280,232b3dac56,Muenzherr
00281,232b3dac56,Dargestellte/r
00281,232b3dac56,Muenzherr
00282,60adf6f70e,Dargestellte/r
00282,60adf6f70e,Muenzherr
00283,60adf6f70e,Dargestellte/r
00283,60adf6f70e,Muenzherr
00284,f633aaa80c,Dargestellte/r
00284,f633aaa80c,Muenzherr
00285,f633aaa80c,Dargestellte/r
00285,f633aaa80c,Muenzherr
00286,ed116ca99b,Dargestellte/r
00286,ed116ca99b,Muenzherr
00287,ed116ca99b,Dargestellte/r
00287,ed116ca99b,Muenzherr
00294,08b129bfd9,Dargestellte/r
00294,08b129bfd9,Muenzherr
00295,e450c8cad2,Dargestellte/r
00296,08b129bfd9,Dargestellte/r
00296,08b129bfd9,Muenzherr
00297,08b129bfd9,Dargestellte/r
00297,08b129bfd9,Muenzherr
00298,08b129bfd9,Dargestellte/r
00298,08b129bfd9,Muenzherr
00299,4aecb9dead,Dargestellte/r
00299,08b129bfd9,Muenzherr
00300,08b129bfd9,Dargestellte/r
00300,08b129bfd9,Muenzherr
00301,08b129bfd9,Dargestellte/r
00301,08b129bfd9,Muenzherr
00302,4aecb9dead,Dargestellte/r
00302,4aecb9dead,Muenzherr
00303,87732e75b8,Dargestellte/r
00303,87732e75b8,Muenzherr
00304,f82675c840,Dargestellte/r
00304,f82675c840,Muenzherr
00305,371c3fc140,Dargestellte/r
00305,371c3fc140,Muenzherr
00306,f82675c840,Dargestellte/r
00306,f82675c840,Muenzherr
00307,4f7fe48e73,Dargestellte/r
00307,4f7fe48e73,Muenzherr
00308,4f7fe48e73,Dargestellte/r
00308,4f7fe48e73,Muenzherr
00309,1bee9c9564,Dargestellte/r
00309,1bee9c9564,Muenzherr
00310,c2868a12c8,Dargestellte/r
00310,c2868a12c8,Muenzherr
00311,1bee9c9564,Dargestellte/r
00311,1bee9c9564,Muenzherr
00312,c2868a12c8,Dargestellte/r
00312,c2868a12c8,Muenzherr
00313,7de7664e89,Dargestellte/r
00313,df9a17052f,Muenzherr
00314,1bfdeb0106,Dargestellte/r
00314,53cd372b3d,Muenzherr
00315,53cd372b3d,Dargestellte/r
00315,53cd372b3d,Muenzherr
00316,a924994455,Dargestellte/r
00316,a924994455,Muenzherr
00317,a924994455,Dargestellte/r
00317,a924994455,Muenzherr
00318,e723245158,Dargestellte/r
00318,765d2b5387,Muenzherr
00319,3e763594fe,Dargestellte/r
00319,3e763594fe,Muenzherr
00320,b46405de72,Dargestellte/r
00320,b46405de72,Muenzherr
00321,7e91a86d1a,Muenzherr
00324,ed116ca99b,Dargestellte/r
00325,4faccef8d2,Dargestellte/r
00325,afe4b82b87,Muenzherr
00326,a67bf294d8,Muenzmeister (MM Ant)
00327,4445d14925,Stempelschneider
00328,3022148186,Magistrat (Ant)
00328,06382a5959,Magistrat (Ant)
00328,ea6ce699fb,Magistrat (Ant)
00329,a2733d9ab2,Muenzherr
00330,f8e838afcf,Dargestellte/r
00330,f8e838afcf,Muenzherr
00335,f8e838afcf,Dargestellte/r
00335,f8e838afcf,Muenzherr
00336,10df7384fe,Dargestellte/r
00336,10df7384fe,Muenzherr
00338,114e8c2b27,Stempelschneider
00340,47082baf7c,Dargestellte/r
00340,f8e838afcf,Muenzherr
00348,902ea5e4d4,Dargestellte/r
00349,d81e20b66a,Stempelschneider
